Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
4/11/2015,571.93,924.69,482.37,423.33,544.42,379.04,1000,,,269.36,949.41,,411.65,466.13,504.14,395.9,466.63,366.61,436.6,171.41,385.38,,,586.1,491.8,,568.53,350.74,382.39,262.31,,495.69,451,,,442.52,379.19,639.75,,,,458.27,,,
4/18/2015,455.54,479.86,469.13,965.32,511.7,345.13,646.99,,,169.76,594.54,,513.57,510.19,661.68,307.38,167.18,758.44,17.37,856.77,29.13,,,397.67,433.36,,828.94,470.12,392.73,370.71,,293.61,1000,,,585.42,453.77,782.13,,,,492.52,,,1000
4/25/2015,370.92,664.8,535.99,576.57,445.91,401.77,392.26,,,458.27,510.89,,498.65,557.79,463.87,270.95,359.56,527.44,60.67,1000,107.65,,,440.81,460.45,,537.06,314.28,454.71,258.34,,600.95,341.22,,,636.16,384.22,658.73,,,,500.8,,,1000
5/2/2015,228.11,758.79,545.23,492.76,508.61,568.13,1000,,,1000,399.72,,610.5,482.87,639.52,535.5,940.35,629.55,51.76,97.65,212.19,,,585.2,411.08,,757.69,808.6,522.16,162.52,,767.48,465.29,,,620.04,330.36,583.29,,,,498.84,,,1000
5/9/2015,290.94,899.91,516.15,444.23,599.95,717.96,292.67,,,264.29,287.74,,658.87,544.46,864.83,796.38,530.29,556.63,37.16,310.45,345.55,,,758.01,446.95,,412.54,255.52,404,446.51,,399,239.62,,,575.38,727.96,562.71,,,,509.36,,,864.95
5/16/2015,229.95,298.76,569.44,482.11,410.06,1000,905.73,,,544.42,342.02,,579.05,509.51,120.84,287.52,559.47,455.55,285.17,757.84,54.19,,,598.94,483.85,,480.69,767.72,650.58,300.26,,747.92,191.62,,,480.76,1000,447.05,,,,477.38,,,571.7
5/23/2015,294.17,138.52,536.1,445.64,801.83,541.64,859.28,,,536.94,126.86,,513.27,506.86,326.78,387.14,648.82,638.87,735.05,483.61,1000,1000,,441.09,649.99,,651.54,672.25,796.51,583.13,,267.75,346.76,,,594.96,498.69,505.21,,,,480.56,,,507.43
5/30/2015,965.66,569.88,655.16,503.42,461.23,393.47,845.44,,,541.28,929.8,,602.56,564.39,549.48,764.47,331.45,504.16,1000,247.53,143.07,923.07,,450.62,440.67,,431.52,829.49,393.07,806.21,,679.04,423.51,,,481.96,500.77,731.17,,,,587.23,,,621.8
6/6/2015,380.19,784.58,509.78,371.59,510.36,271.13,446.58,,,1000,808.85,,454.03,527.63,30.71,766.84,741.91,514.3,1000,50.35,105.16,518.79,,379.98,758.97,,551.43,924.34,755.19,1000,,759.21,525.86,,,530.89,273.36,593.56,,,1000,550.97,,,494.87
6/13/2015,168.5,362.96,543.42,505.53,465.69,325.25,545.28,,,217.88,227.69,,567.64,541.16,983.12,335.33,502.63,663.42,1000,746.44,783.15,213.88,,520.53,601.81,,488.19,717.47,385.26,702.18,,312.18,746.87,,,488.29,446.6,776.1,,,451.96,541.09,,,519.02
6/20/2015,243.3,328.03,475.96,412.9,508.46,370.36,629.03,,,445.51,235.74,,613.72,519.86,693.56,570.75,621.54,704.16,1000,1000,81.32,471.88,,405.49,511.74,,475.91,672.19,430.87,1000,,539.33,486.17,,,621.12,455.68,732.35,,,252.75,518.41,,,652.26
